datetime	caudal
2015-04-16	1.24
2015-04-17	1.20
2015-04-18	1.20
2015-04-19	1.19
2015-04-20	1.11
2015-04-21	1.07
2015-04-22	1.43
2015-04-30	1.81
2015-05-01	1.54
2015-05-02	1.39
2015-05-03	1.30
2015-05-04	1.35
2015-05-05	1.34
2015-05-06	1.28
2015-05-07	1.25
2015-05-08	1.19
2015-05-09	1.52
2015-05-10	1.65
2015-05-15	1.76
2015-05-16	1.52
2015-05-17	1.90
2015-05-18	1.86
2015-05-19	1.61
2015-05-20	1.38
2015-05-22	1.54
2015-05-23	1.43
2015-05-24	1.47
2015-05-25	1.28
2015-05-26	1.24
2015-05-27	1.30
2015-05-28	1.34
2015-05-29	1.50
2015-05-30	1.39
2015-05-31	1.51
2015-06-01	1.39
2015-06-02	1.25
2015-06-03	1.43
2015-06-07	1.82
2015-06-09	1.70
2015-06-10	1.61
2015-06-11	1.55
2015-06-14	1.65
2015-06-15	1.41
2015-06-22	1.63
2015-06-23	1.52
2015-06-30	1.79
2015-07-01	1.63
2015-07-02	1.56
2015-07-03	1.59
2015-07-04	1.89
2015-07-06	1.81
2015-07-07	1.61
2015-07-08	1.89
2015-07-09	1.67
2015-07-11	1.85
2015-07-12	1.87
2015-07-13	1.73
2015-07-14	1.41
2015-07-15	1.31
2015-07-16	1.89
2015-07-17	1.52
2015-07-18	1.82
2015-07-20	1.43
2015-07-21	1.30
2015-07-24	1.73
2015-07-25	1.55
2015-07-26	1.82
2015-08-03	1.69
2015-08-04	1.63
2015-08-05	1.76
2015-08-06	1.64
2015-08-07	1.43
2015-08-08	1.37
2015-08-09	1.44
2015-08-10	1.42
2015-08-11	1.37
2015-08-12	1.41
2015-08-13	1.46
2015-08-14	1.42
2015-08-16	1.86
2015-08-17	1.43
2015-08-18	1.29
2015-08-19	1.22
2015-08-20	1.20
2015-08-21	1.24
2015-08-22	1.17
2015-08-23	1.12
2015-08-24	1.09
2015-08-25	1.21
2015-08-26	1.12
2015-08-27	1.08
2015-08-28	1.51
2015-08-31	1.65
2015-09-03	1.72
2015-09-04	1.50
2015-09-05	1.68
2015-09-06	1.63
2015-09-07	1.79
2015-09-08	1.51
2015-09-09	1.31
2015-09-10	1.24
2015-09-11	1.17
2015-09-12	1.15
2015-09-13	1.11
2015-09-14	1.08
2015-09-15	1.06
2015-09-16	1.04
2015-09-17	1.03
2015-09-18	1.06
2015-09-19	1.11
2015-09-20	1.26
2015-09-21	1.29
2015-09-22	1.15
2015-09-23	1.21
2015-09-24	1.25
2015-09-25	1.12
2015-09-26	1.15
2015-09-27	1.19
2015-09-28	1.17
2015-09-29	1.12
2015-09-30	1.02
2015-10-01	1.09
2015-10-02	1.07
2015-10-03	1.04
2015-10-04	1.89
2015-10-06	1.54
2015-10-07	1.29
2015-10-08	1.12
2015-10-09	1.13
2015-10-10	1.26
2015-10-11	1.20
2015-10-12	1.29
2015-10-13	1.39
2015-10-14	1.22
2015-10-15	1.33
2015-10-16	1.72
2015-10-17	1.59
2015-10-20	1.54
2015-10-21	1.25
2015-10-22	1.16
2015-10-23	1.19
2015-10-24	1.09
2015-10-25	1.12
2015-10-26	1.13
2015-10-27	1.06
2015-10-28	1.06
2015-10-29	1.08
2015-10-30	1.04
2015-10-31	1.06
2015-11-01	1.02
2015-11-02	0.98
2015-11-03	0.95
2015-11-04	0.93
2015-11-05	0.91
2015-11-06	0.94
2015-11-07	0.99
2015-11-08	1.00
2015-11-09	1.30
2015-11-10	1.51
2015-11-11	1.26
2015-11-12	1.25
2015-11-13	1.47
2015-11-14	1.33
2015-11-15	1.79
2015-11-16	1.33
2015-11-17	1.15
2015-11-18	1.12
2015-11-19	1.00
2015-11-20	0.95
2015-11-21	0.94
2015-11-22	1.04
2015-11-23	0.98
2015-11-24	0.99
2015-11-25	1.07
2015-11-26	1.08
2015-11-27	0.96
2015-11-28	1.00
2015-11-29	0.94
2015-11-30	0.91
2015-12-01	1.65
2015-12-02	1.86
2015-12-03	1.30
2015-12-04	1.02
2015-12-05	0.94
2015-12-06	0.93
2015-12-07	0.89
2015-12-08	0.89
2015-12-09	1.02
2015-12-10	1.06
2015-12-11	1.20
2015-12-12	0.98
2015-12-13	0.91
2015-12-14	0.99
2015-12-15	1.48
2015-12-16	1.35
2015-12-17	1.22
2015-12-18	1.11
2015-12-19	1.35
2015-12-20	1.39
2015-12-21	1.29
2015-12-22	1.06
2015-12-23	1.04
2015-12-24	1.24
2015-12-25	1.29
2015-12-26	1.38
2015-12-27	1.56
2015-12-28	1.28
2015-12-29	1.35
2015-12-30	1.42
2015-12-31	1.70
2016-01-01	1.44
2016-01-02	1.17
2016-01-03	1.03
2016-01-04	0.96
2016-01-05	0.91
2016-01-06	0.89
2016-01-07	0.89
2016-01-08	0.86
2016-01-09	0.86
2016-01-10	0.85
2016-01-11	0.87
2016-01-12	1.25
2016-01-13	0.99
2016-01-14	0.89
2016-01-15	0.85
2016-01-16	0.82
2016-01-17	0.81
